Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1993","1000 tonnes","19482"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1994","1000 tonnes","19955"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1995","1000 tonnes","21870"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1996","1000 tonnes","24576"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1997","1000 tonnes","23523"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1998","1000 tonnes","22768"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","1999","1000 tonnes","22125"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2000","1000 tonnes","23989"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2001","1000 tonnes","18959"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2002","1000 tonnes","22966"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2003","1000 tonnes","21511"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2004","1000 tonnes","22028"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2005","1000 tonnes","20998"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2006","1000 tonnes","20832"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2007","1000 tonnes","19124"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2008","1000 tonnes","24282"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2009","1000 tonnes","21619"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2010","1000 tonnes","20946"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2011","1000 tonnes","21485"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2012","1000 tonnes","19515"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Cereals - Excluding Beer","2013","1000 tonnes","20084"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1961","1000 tonnes","224"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1962","1000 tonnes","244"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1963","1000 tonnes","232"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1964","1000 tonnes","229"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1965","1000 tonnes","229"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1966","1000 tonnes","227"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1967","1000 tonnes","236"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1968","1000 tonnes","235"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1969","1000 tonnes","229"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1970","1000 tonnes","230"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1971","1000 tonnes","248"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1972","1000 tonnes","259"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1973","1000 tonnes","269"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1974","1000 tonnes","282"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1975","1000 tonnes","254"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1976","1000 tonnes","245"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1977","1000 tonnes","313"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1978","1000 tonnes","308"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1979","1000 tonnes","315"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1980","1000 tonnes","358"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1981","1000 tonnes","372"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1982","1000 tonnes","410"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1983","1000 tonnes","374"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1984","1000 tonnes","452"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1985","1000 tonnes","428"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1986","1000 tonnes","495"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1987","1000 tonnes","495"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1988","1000 tonnes","505"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1989","1000 tonnes","448"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1990","1000 tonnes","442"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1991","1000 tonnes","429"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1992","1000 tonnes","293"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1993","1000 tonnes","410"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1994","1000 tonnes","261"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1995","1000 tonnes","329"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1996","1000 tonnes","376"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1997","1000 tonnes","358"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1998","1000 tonnes","361"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","1999","1000 tonnes","349"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2000","1000 tonnes","385"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2001","1000 tonnes","263"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2002","1000 tonnes","382"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2003","1000 tonnes","347"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2004","1000 tonnes","367"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2005","1000 tonnes","350"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2006","1000 tonnes","356"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2007","1000 tonnes","341"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2008","1000 tonnes","408"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2009","1000 tonnes","359"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2010","1000 tonnes","351"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2011","1000 tonnes","402"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2012","1000 tonnes","326"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Losses","Cereals - Excluding Beer","2013","1000 tonnes","303"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1961","kg","109.58"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1962","kg","108.39"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1963","kg","107.7"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1964","kg","105.65"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1965","kg","104.69"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1966","kg","103.58"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1967","kg","98.46"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1968","kg","96.65"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1969","kg","100.24"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1970","kg","99.56"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1971","kg","96.38"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1972","kg","94.17"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1973","kg","94.66"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1974","kg","92.36"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1975","kg","95.82"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1976","kg","97.41"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1977","kg","95.6"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1978","kg","93.77"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1979","kg","92.61"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1980","kg","91.12"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1981","kg","89.2"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1982","kg","85.86"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1983","kg","88.82"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1984","kg","90.2"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1985","kg","97.73"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1986","kg","93.92"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1987","kg","95.9"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1988","kg","95.01"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1989","kg","94.42"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1990","kg","92.97"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1991","kg","93.02"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1992","kg","95.25"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1993","kg","92.88"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1994","kg","92.61"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1995","kg","93.83"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1996","kg","96.18"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1997","kg","101.09"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1998","kg","107.39"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","1999","kg","107.56"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2000","kg","107.8"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2001","kg","104.57"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2002","kg","114.47"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2003","kg","114.39"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2004","kg","111.92"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2005","kg","113.3"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2006","kg","112.34"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2007","kg","113.59"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2008","kg","115.79"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2009","kg","114.53"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2010","kg","114.95"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2011","kg","114.21"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2012","kg","114.89"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Food supply quantity (kg/capita/yr)","Cereals - Excluding Beer","2013","kg","115.85"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1961","1000 tonnes","6811"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1962","1000 tonnes","7185"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1963","1000 tonnes","7196"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1964","1000 tonnes","7549"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1965","1000 tonnes","8006"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1966","1000 tonnes","6897"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1967","1000 tonnes","7559"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1968","1000 tonnes","7273"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1969","1000 tonnes","6513"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1970","1000 tonnes","7821"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1971","1000 tonnes","7744"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1972","1000 tonnes","6863"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1973","1000 tonnes","7091"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1974","1000 tonnes","7157"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1975","1000 tonnes","4787"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1976","1000 tonnes","4789"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1977","1000 tonnes","6621"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1978","1000 tonnes","7331"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1979","1000 tonnes","6485"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1980","1000 tonnes","7105"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1981","1000 tonnes","6214"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1982","1000 tonnes","6875"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1983","1000 tonnes","5885"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1984","1000 tonnes","7398"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1985","1000 tonnes","6892"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1986","1000 tonnes","6412"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1987","1000 tonnes","6760"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1988","1000 tonnes","6899"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1989","1000 tonnes","6266"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1990","1000 tonnes","6467"
"Food Balances (-2013, old methodology and population)","United Kingdom of Great Britain and Northern Ireland","Production","Starchy Roots","1991","1000 tonnes","6267"
